lake_name,lat,lon,age_CE,layer,thickness,source,ref,country,continent,summer_1816_temp_an,summer_1816_prec_an,winter_1816_17_temp_an,winter_1816_17_prec_an
Ayr Lake,70.459,-70.086,2004,varve,2.79,VARDA,"Thomas, E.K. et al., 2012. Leaf wax δ2H and varve-thickness climate proxies from proglacial lake sediments, Baffin Island, Arctic Canada. Journal of Paleolimnology, 48(1), pp.193–207. Available at: http://dx.doi.org/10.1007/s10933-012-9584-7.",Canada,North America,-0.5974391018203278,88.37881083424503,-3.1468351760713063,69.02138003935663
Big Round Lake,69.8647631,-68.85484366,2003,varve,1.35,VARDA,"Thomas, E.K. & Briner, J.P., 2008. Climate of the past millennium inferred from varved proglacial lake sediments on northeast Baffin Island, Arctic Canada. Journal of Paleolimnology, 41(1), pp.209–224. Available at: http://dx.doi.org/10.1007/s10933-008-9258-7.",Canada,North America,-0.4536653524971257,89.95128054743698,-4.1161815781798055,68.35113084164628
Blue Lake,68.08701348,-150.4651762,2005,varve,1.72,VARDA,"Bird, B.W. et al., 2009. A 2000 year varve-based climate record from the central Brooks Range, Alaska. Journal.of Paleolimnology, 41(1), pp.25–41. Available at: http://dx.doi.org/10.1007/s10933-008-9262-y.",United States,North America,-0.9614492485625306,100.89087159097751,-0.4356002052231531,93.78491407459705
Chala,-3.31676,37.70403,2005,light layer,0.98,VARDA,"Wolff, C. et al., 2011. Reduced Interannual Rainfall Variability in East Africa During the Last Ice Age. Science, 333(6043), pp.743–747. Available at: http://dx.doi.org/10.1126/science.1203724.",Kenya,Africa,-0.37173935289035853,100.90813023511846,-0.20452518274282738,84.94550009244959
Chevalier,75.05,-111.5,2008,dark layer,1.55,PANGAEA,"Amann, Benjamin; Lamoureux, Scott F; Boreux, Maxime P (2018): 340-yr winter temperature reconstruction, Chevalier Bay, Melville Island, Canadian High Arctic [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.895170, Supplement to: Amann, B et al. (2017): Winter temperature conditions (1670–2010) reconstructed from varved sediments, western Canadian High Arctic. Quaternary Science Reviews, 172, 1-14, https://doi.org/10.1016/j.quascirev.2017.07.013",Canada,North America,-0.3487425952067724,104.70544037223992,-0.7088352115240752,80.49819957269483
Donard,66.6625264,-61.7874877,1992,varve,0.39,VARDA,"Moore, J.J. et al., 2001. Journal of Paleolimnology, 25(4), pp.503–517. Available at: http://dx.doi.org/10.1023/A:1011181301514.",Canada,North America,-0.34421723117134206,99.11650416152004,-4.241685621809268,62.3350757643506
East Lake,74.88821123,-109.5341661,2005,varve,0.529,VARDA,"Cuven, S., Francus, P. & Lamoureux, S., 2011. Mid to Late Holocene hydroclimatic and geochemical records from the varved sediments of East Lake, Cape Bounty, Canadian High Arctic. Quaternary Science Reviews, 30(19-20), pp.2651–2665. Available at: http://dx.doi.org/10.1016/j.quascirev.2011.05.019.",Canada,North America,-0.16797801606332996,98.1513227117506,-0.5060866453466417,83.83445500856146
Elk Lake,47.18905099,-95.21790112,1871,varve,3.42,VARDA,"Dean, W.E. & Megard, R.O., 1993. Elk Lake, Minnesota: Evidence for Rapid Climate Change in the North-Central United States, pp.97–114. Available at: http://dx.doi.org/10.1130/SPE276-p97.",United States,North America,-0.5962541536135859,95.41450552400057,-1.1771047359252407,87.51997836092573
Etoliko,38.473228,21.324779,2012,light layer,0,VARDA,"Koutsodendris, A. et al., 2017. Climate variability in SE Europe since 1450 AD based on a varved sediment record from Etoliko Lagoon (Western Greece). Quaternary Science Reviews, 159, pp.63–76. Available at: http://dx.doi.org/10.1016/j.quascirev.2017.01.010.",NA,NA,-0.9434715749407019,147.95480881657477,-0.3474035483382636,88.88198332088591
Green Lake,50.2,-122.9,1999,varve,4.725153277017605,NOAA,"Schiefer, E., Menounos, B., Slaymaker, O., 2006. Extreme sediment delivery events recorded in the contemporary sediment record of a montane lake, southern Coast Mountains, British Columbia. Canadian Journal of Earth Sciences, 43(12), 1777-1790. Available at: https://doi.org/10.1139/e06-056",Canada,North America,0.30300732099573224,98.14926348706612,-0.12655604397110665,88.80736684575868
Holzmaar,50.1188889,6.8791667,1989,varve,3.142857142857143,author,"Zolitschka, B., 1996. High Resolution Lacustrine Sediments and Their Potential for Palaeoclimatic Reconstruction, in: Jones, P.D., Bradley, R.S., Jouzel, J. (Eds.), Climatic Variations and Forcing Mechanisms of the Last 2000 Years. Springer Berlin Heidelberg, Berlin, Heidelberg, pp. 453–478. Available at: https://doi.org/10.1007/978-3-642-61113-1_21
",Germany,Europe,-2.1005655924479356,153.07943350289065,2.3411700056724385,110.07007736883966
Hvítárvatn,64.61013515,-19.84014872,2002,varve,9.48,VARDA,"Larsen, D.J. et al., 2011. A 3000-year varved record of glacier activity and climate change from the proglacial lake Hvítárvatn, Iceland. Quaternary Science Reviews, 30(19-20), pp.2715–2731. Available at: http://dx.doi.org/10.1016/j.quascirev.2011.05.026.",Iceland,Europe,-0.840766226891219,102.91315170557182,-1.0232246826977303,104.20293507933584
Iceberg Lake,60.78804467,-142.9588516,1998,varve,5.7,VARDA,"Loso, M.G., 2008. Summer temperatures during the Medieval Warm Period and Little Ice Age inferred from varved proglacial lake sediments in southern Alaska. Journal of Paleolimnology, 41(1), pp.117–128. Available at: http://dx.doi.org/10.1007/s10933-008-9264-9.",United States,North America,0.07854156997734663,86.15411642956676,0.056043568224026785,87.44161477333996
Kassjön,63.92566,20.00977,1901,varve,0.89208984375,author,"Arnqvist, P., Bigler, C., Renberg, I. et al. Functional clustering of varved lake sediment to reconstruct past seasonal climate. Environ Ecol Stat 23, 513–529 (2016). https://doi.org/10.1007/s10651-016-0351-1",Sweden,Europe,0.03077602071732599,96.79647467689014,1.2641718395472594,97.32828151216282
Kenai,60.3880556,-149.6011111,2012,varve,1.29,GSA,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",United States,North America,0.469733713483663,83.81580304934371,-0.1448918207250358,83.72183881641038
Kuninkaisenlampi,63.98333,28.02333,1998,light layer,0.16,author,"Saarni, S., Muschitiello, F., Weege, S., Brauer, A., Saarinen, T., 2016. A late Holocene record of solar-forced atmospheric blocking variability over Northern Europe inferred from varved lake sediments of Lake Kuninkaisenlampi. Quaternary Science Reviews 154, 100–110. https://doi.org/10.1016/j.quascirev.2016.10.019
",Finland,Europe,0.49890579878297103,85.87965616364734,1.4780503578311937,98.83459849206328
Kusai,35.6916667,92.8333333,2009,light layer,2.6222950819672133,author,"Zhang, Q., Liu, X., Feng, S., 2022. Factors Influencing the Seasonal Flux of the Varved Sediments of Kusai Lake on the Northern Tibetan Plateau During the Last ∼2280 years. Front. Earth Sci. 9. https://doi.org/10.3389/feart.2021.823258",China,Asia,-0.35915714679379107,79.15458765609851,-1.6200146564949307,126.71453291792336
Lake C2,82.827593,-77.985993,1987,varve,0.8004,VARDA,"Lamoureux, S. & Bradley, R., 1996. A late Holocene varved sediment record of environmental change from northern Ellesmere Island, Canada. Journal of Paleolimnology, 16(2). Available at: http://dx.doi.org/10.1007/BF00176939.",NA,NA,-0.5200688831089906,103.29048745551064,-0.7800335773933966,96.93466056755713
Lake DV09,75.57438656,-89.30943311,1996,varve,4.135,VARDA,"Courtney Mustaphi, C.J. & Gajewski, K., 2013. Holocene sediments from a coastal lake on northern Devon Island, Nunavut, Canada O. Lian, ed. Canadian Journal of Earth Sciences, 50(5), pp.564–575. Available at: http://dx.doi.org/10.1139/cjes-2012-0143.",NA,NA,-0.8485476050046259,98.64806914545585,-2.2513356728128713,74.08421931978032
Lehmilampi,63.628294,29.102242,2004,varve,3.05,VARDA,"HALTIAHOVI, E., SAARINEN, T. & KUKKONEN, M., 2007. A 2000-year record of solar forcing on varved lake sediment in eastern Finland. Quaternary Science Reviews, 26(5-6), pp.678–689. Available at: http://dx.doi.org/10.1016/j.quascirev.2006.11.005.",Finland,Europe,0.5318331576810351,82.9828244941872,1.7048467252120645,98.65263878301772
Linnévatnet,78.0447222,13.8072222,2017,varve,2.52017,ADC,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",Norway,Europe,-0.19067604392279236,99.91123848839686,-1.303847511215963,98.22516838194248
Lower Murray Lake,81.332754,-69.551021,2004,varve,2.127,VARDA,"Cook, T.L. et al., 2008. Five thousand years of sediment transfer in a high arctic watershed recorded in annually laminated sediments from Lower Murray Lake, Ellesmere Island, Nunavut, Canada. Journal of Paleolimnology, 41(1), pp.77–94. Available at: http://dx.doi.org/10.1007/s10933-008-9252-0.",Canada,North America,-0.49559620268667004,100.42370804784291,-1.0943709269608632,97.88766308795796
Montcortès,42.33158,0.99491,1600,light layer,0.4,PANGAEA,"Vegas-Vilarrúbia, Teresa; Corella, Juan Pablo; Sigro, Javier; Rull, Valentí; Dorado-Liñan, Isabel; Valero-Garcés, Blas L; Gutiérrez-Merino, Emilia (2022): Estimated autumn precipitation anomalies in the Central Pyrenees between 1500 and 2002 CE, based on the varved sediments of Lake Montcortès [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.949593",Spain,Europe,-2.142663332495374,94.33500923450515,0.5377792509475512,90.44209574811484
Nar Gölü,38.340367,34.456106,2001,light layer,0.132,author,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",Turkey,Asia,-0.8468102181312247,216.88020719579896,-0.4480970527473005,104.56124809220213
Nautajärvi,61.8,24.6833,1995,light layer,13.759,NOAA,"Ojala, A.E.K. and T. Alenius.  2005. 10 000 years of interannual sedimentation recorded in the Lake Nautajärvi (Finland) clastic–organic varves.  
 Palaeogeography, Palaeoclimatology, Palaeoecology, 219(3-4), 285-302, available at: doi:10.1016/j.palaeo.2005.01.002",Finland,Europe,0.31616462732694117,93.12038464102591,2.1987147567296006,107.2189705052543
Oeschinen,46.49841108,7.727444995,2008,varve,2.61,VARDA,"Amann, B., Szidat, S. & Grosjean, M., 2015. A millennial-long record of warm season precipitation and flood frequency for the North-western Alps inferred from varved lake sediments: implications for the future. Quaternary Science Reviews, 115, pp.89–100. Available at: http://dx.doi.org/10.1016/j.quascirev.2015.03.002.",Switzerland,Europe,-2.704092095000533,118.58301502777329,1.6051909695364088,98.52241966433671
Ogac,62.84315905,-67.3401148,1991,light layer,0.58,VARDA,"Hughen, K.A., 2009. NOAA/WDS Paleoclimatology - Ogac Lake, Baffin Island 2,000 Year Varve Thickness Data. [indicate subset used]. NOAA National Centers for Environmental Information. Available at: https://doi.org/10.25921/aqex-w486.",Canada,North America,-1.6014859542594877,100.06313228571383,-5.963435106938448,62.682071944429296
Plomo,-47.00474848,-72.91217386,1960,varve,2.294,VARDA,"Elbert, J. et al., 2015. A 600 years warm-season temperature record from varved sediments of Lago Plomo, Northern Patagonia, Chile (47°S). Quaternary International, 377, pp.28–37. Available at: http://dx.doi.org/10.1016/j.quaint.2015.01.004.",Chile,South America,-0.32955650606567133,91.76756606684012,0.4200524056312247,93.14575458792231
Sawtooth,79.3493947,-83.92352535,1999,varve,1.111,VARDA,"Francus, P. et al., 2002. Paleoclimate studies of minerogenic sediments using annually resolved textural parameters. Geophysical Research Letters, 29(20), pp.59–1–59–4. Available at: http://dx.doi.org/10.1029/2002GL015082.",Canada,North America,-0.6507934973184888,104.1589431464418,-0.9885407501321595,97.08116391034041
Skilak,60.4019845346655,-150.304341827754,2012,varve,2.37,GSA,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774.",United States,North America,0.5527619717537959,84.01258292454695,-0.13265502728251022,83.5210829559029
Upper Sopper,62.9166667,-69.53,1992,dark layer,0.233285,NOAA,"Hughen, K.A., Overpeck, J.T. and Anderson, R.F., 2000. Recent Warming in a 500-Year Paleotemperature Record from Varved Sediments: Upper Soper Lake, Baffin Island, Canada, The Holocene, 10(1), 9-19. Availible at: https://doi.org/10.1191/095968300676746202.",Canada,North America,-1.5337906135583808,101.18667017060005,-4.710360838635154,70.87018368862766
Żabińskie,54.1318,21.9836,2011,light layer,0.702,author,"Żarczynski, M., Wacnik, A., Tylmann, W., 2019. Tracing lake mixing and oxygenation regime using the Fe/Mn ratio in varved sediments: 2000year-long record of human-induced changes from Lake Zabinskie (NE Poland). Science of the Total Environment 657, 585–596. Available at: https://doi.org/10.1016/j.scitotenv.2018.12.078
",Poland,Europe,-0.5361413735367364,120.59738318206747,3.2996461572426483,105.64791673033224
